         StartTime           LastTime        Dur   TotBytes  TotPkts     SrcBytes     DstBytes         Rate 
   15:00:03.456207    15:00:07.832209   4.376002     134633      159         9889       124744    36.106018
   15:00:03.480965    15:00:07.473661   3.992696        132        2          132            0     0.250457
   15:00:03.574897    15:00:03.575220   0.000323        273        2           90          183  3095.975342
   15:00:03.588219    15:00:06.634414   3.046195        583        7          168          415     1.969670
   15:00:03.588573    15:00:06.585218   2.996645        222        3          222            0     0.667413
   15:00:03.621202    15:00:03.621202   0.000000         74        1           74            0     0.000000
   15:00:03.629865    15:00:03.629865   0.000000         74        1           74            0     0.000000
   15:00:03.664698    15:00:06.656915   2.992217        222        3          222            0     0.668401
   15:00:03.710806    15:00:05.538370   1.827564     336243      338         9776       326467   184.398468
   15:00:03.753304    15:00:06.749839   2.996535        222        3          222            0     0.667438
   15:00:03.840739    15:00:08.531645   4.690906     869277      862        27704       841573   183.546631
   15:00:03.850075    15:00:08.531630   4.681555      37777       47         1990        35787     9.825795
   15:00:03.861760    15:00:03.861760   0.000000         90        1           90            0     0.000000
   15:00:03.923427    15:00:03.925246   0.001819        122        2           56           66   549.752625
   15:00:03.933923    15:00:08.100977   4.167054    1786707     1799        46348      1740359   431.479858
   15:00:03.951961    15:00:03.951961   0.000000         90        1           90            0     0.000000
   15:00:03.965753    15:00:03.965753   0.000000         74        1           74            0     0.000000
   15:00:04.092254    15:00:04.942073   0.849819       3965       15         2190         1775    16.474096
   15:00:04.166232    15:00:05.475730   1.309498        288        4          140          148     2.290954
   15:00:04.186979    15:00:06.634306   2.447327      17206       25        16265          941     9.806618
   15:00:04.337393    15:00:04.337393   0.000000         74        1           74            0     0.000000
   15:00:04.504252    15:00:04.822934   0.318682        566        7          254          312    18.827547
   15:00:04.621528    15:00:08.630570   4.009042        148        2          148            0     0.249436
   15:00:04.629020    15:00:04.629020   0.000000         74        1           74            0     0.000000
   15:00:04.650288    15:00:04.778613   0.128325      16740       23         1663        15077   171.439697
   15:00:04.650289    15:00:04.778586   0.128297      14778       22         1593        13185   163.682709
   15:00:04.755556    15:00:04.822718   0.067162        162        2          108           54    14.889372
   15:00:04.778375    15:00:04.953605   0.175230        240        2           88          152     5.706786
   15:00:04.791633    15:00:07.807610   3.015977        222        3          222            0     0.663135
   15:00:04.849883    15:00:08.858077   4.008194        148        2          148            0     0.249489
   15:00:04.876907    15:00:07.984041   3.107134        222        3          222            0     0.643680
   15:00:04.900901    15:00:08.445261   3.544360      20741       34         1926        18815     9.310567
   15:00:04.949415    15:00:04.949415   0.000000         98        1           98            0     0.000000
   15:00:04.994077    15:00:04.994077   0.000000         90        1           90            0     0.000000
   15:00:05.044193    15:00:08.027498   2.983305        222        3          222            0     0.670397
   15:00:05.100777    15:00:09.110255   4.009478        148        2          148            0     0.249409
   15:00:05.108664    15:00:05.108664   0.000000       1294        1         1294            0     0.000000
   15:00:05.151849    15:00:08.141490   2.989641        222        3          222            0     0.668977
   15:00:05.152072    15:00:08.141660   2.989588        222        3          222            0     0.668989
   15:00:05.167149    15:00:05.167149   0.000000         42        1           42            0     0.000000
   15:00:05.369283    15:00:05.369283   0.000000         74        1           74            0     0.000000
   15:00:05.401023    15:00:08.388160   2.987137        222        3          222            0     0.669537
