frame.number,frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"41","1757509684.181538000","0.000573000","196.42.104.243","104.18.39.21"
"42","1757509684.183237000","0.001699000","104.18.39.21","196.42.104.243"
"64","1757509685.200245000","0.000247000","196.42.104.243","104.18.39.21"
"66","1757509685.202157000","0.001912000","104.18.39.21","196.42.104.243"
"67","1757509685.202157000","0.001889000","104.18.39.21","196.42.104.243"
"70","1757509685.229776000","0.001821000","196.24.45.75","196.42.104.243"
"71","1757509685.229776000","0.001772000","196.24.45.75","196.42.104.243"
"175","1757509687.289865000","0.001426000","104.18.32.47","196.42.104.243"
"176","1757509687.289922000","0.000057000","196.42.104.243","104.18.32.47"
"180","1757509687.292579000","0.001866000","104.18.32.47","196.42.104.243"
"186","1757509687.293107000","0.000044000","196.42.104.243","104.18.32.47"
"187","1757509687.293215000","0.000152000","196.42.104.243","104.18.32.47"
"192","1757509687.296013000","0.001959000","104.18.32.47","196.42.104.243"
"193","1757509687.296051000","0.000038000","196.42.104.243","104.18.32.47"
"196","1757509687.298627000","0.001972000","104.18.32.47","196.42.104.243"
"198","1757509687.300132000","0.000018000","196.42.104.243","104.18.32.47"
"202","1757509687.303643000","0.002424000","104.18.32.47","196.42.104.243"
"203","1757509687.303643000","0.001947000","104.18.32.47","196.42.104.243"
"205","1757509687.304046000","0.000403000","196.42.104.243","104.18.32.47"
"206","1757509687.304210000","0.002477000","104.18.32.47","196.42.104.243"
"207","1757509687.346151000","0.042105000","104.18.32.47","196.42.104.243"
"234","1757509688.169804000","0.000135000","196.42.104.243","104.18.32.47"
"242","1757509688.188806000","0.001869000","104.18.39.21","196.42.104.243"
"243","1757509688.188897000","0.000091000","196.42.104.243","104.18.39.21"
"245","1757509688.191789000","0.001142000","104.18.39.21","196.42.104.243"
"247","1757509688.206931000","0.000094000","196.42.104.243","104.18.39.21"
"250","1757509688.211205000","0.002223000","104.18.39.21","196.42.104.243"
"251","1757509688.212155000","0.000950000","196.42.104.243","104.18.39.21"
"252","1757509688.212212000","0.002416000","104.18.39.21","196.42.104.243"
"254","1757509688.215089000","0.001919000","104.18.39.21","196.42.104.243"
"255","1757509688.215154000","0.000065000","196.42.104.243","104.18.39.21"
"257","1757509688.218930000","0.002349000","104.18.39.21","196.42.104.243"
"259","1757509688.230819000","0.000069000","196.42.104.243","104.18.39.21"
"264","1757509688.235285000","0.002098000","104.18.39.21","196.42.104.243"
"265","1757509688.253089000","0.040877000","196.42.104.243","104.18.39.21"
"266","1757509688.255544000","0.043389000","104.18.39.21","196.42.104.243"
"269","1757509688.304464000","0.000261000","196.42.104.243","104.18.39.21"
"270","1757509688.305887000","0.001423000","104.18.39.21","196.42.104.243"
"272","1757509688.372414000","0.000034000","196.42.104.243","52.108.54.3"
"275","1757509688.386828000","0.000027000","196.42.104.243","52.108.54.3"
"277","1757509688.391088000","0.000011000","196.42.104.243","52.108.54.3"
"289","1757509688.588234000","0.020054000","52.108.9.12","196.42.104.243"
"291","1757509688.588405000","0.017474000","52.108.9.12","196.42.104.243"
"294","1757509688.607251000","0.000047000","196.42.104.243","52.108.9.12"
"295","1757509688.607269000","0.000065000","196.42.104.243","52.108.9.12"
"302","1757509688.710897000","0.000268000","196.42.104.243","104.18.39.21"
"305","1757509688.719807000","0.001482000","104.18.39.21","196.42.104.243"
