frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"1757710021.815069697","0.164085510","87.248.114.12","196.42.104.243"
"1757710021.815094304","0.165498217","87.248.114.12","196.42.104.243"
"1757710021.815116749","0.000047052","196.42.104.243","87.248.114.12"
"1757710021.815129194","0.000034890","196.42.104.243","87.248.114.12"
"1757710021.817202995","0.001183156","87.248.114.12","196.42.104.243"
"1757710021.817548520","0.001026990","87.248.114.12","196.42.104.243"
"1757710021.968183987","0.000078162","196.42.104.243","87.248.114.12"
"1757710021.968231041","0.000124638","196.42.104.243","87.248.114.12"
"1757710021.968791681","0.000019508","196.42.104.243","87.248.114.12"
"1757710021.969738210","0.000044596","196.42.104.243","87.248.114.12"
"1757710021.969762782","0.000068882","196.42.104.243","87.248.114.12"
"1757710022.122511654","0.150218979","87.248.114.12","196.42.104.243"
"1757710022.122954882","0.149548189","87.248.114.12","196.42.104.243"
"1757710022.122967640","0.150042630","87.248.114.12","196.42.104.243"
"1757710022.123043013","0.000531236","196.42.104.243","87.248.114.12"
"1757710022.123514952","0.000547162","196.42.104.243","87.248.114.12"
"1757710022.124014499","0.149803003","87.248.114.12","196.42.104.243"
"1757710022.151012582","0.000163282","196.42.104.243","87.248.114.12"
"1757710022.312811348","0.189726214","87.248.114.12","196.42.104.243"
"1757710025.623314540","0.149921550","87.248.114.12","196.42.104.243"
"1757710025.623323827","0.149993855","87.248.114.12","196.42.104.243"
"1757710025.623324025","0.150333677","87.248.114.12","196.42.104.243"
"1757710025.623324162","0.150162748","87.248.114.12","196.42.104.243"
"1757710025.623324193","0.149883392","87.248.114.12","196.42.104.243"
"1757710025.623324225","0.150078720","87.248.114.12","196.42.104.243"
"1757710025.623370087","0.000046260","196.42.104.243","87.248.114.12"
"1757710025.623382087","0.000067547","196.42.104.243","87.248.114.12"
"1757710025.623392248","0.000068055","196.42.104.243","87.248.114.12"
"1757710025.623406762","0.000082537","196.42.104.243","87.248.114.12"
"1757710025.623931193","0.150091523","87.248.114.12","196.42.104.243"
"1757710025.623931421","0.150404161","87.248.114.12","196.42.104.243"
"1757710025.623935592","0.150448025","87.248.114.12","196.42.104.243"
"1757710025.623970903","0.000035311","196.42.104.243","87.248.114.12"
"1757710025.623988099","0.000056678","196.42.104.243","87.248.114.12"
"1757710025.624025747","0.149424446","87.248.114.12","196.42.104.243"
"1757710025.626413300","0.001281289","196.42.104.243","87.248.114.12"
"1757710025.627630143","0.001965970","87.248.114.12","196.42.104.243"
"1757710025.627632109","0.002570068","87.248.114.12","196.42.104.243"
"1757710025.627643731","0.003182592","87.248.114.12","196.42.104.243"
"1757710025.628130099","0.000486256","196.42.104.243","87.248.114.12"
"1757710025.630663873","0.004409796","87.248.114.12","196.42.104.243"
"1757710025.631305621","0.003963785","87.248.114.12","196.42.104.243"
"1757710025.631311242","0.003361395","87.248.114.12","196.42.104.243"
"1757710025.810046173","0.000122428","196.42.104.243","87.248.114.12"
"1757710025.810080185","0.000156750","196.42.104.243","87.248.114.12"
"1757710025.810100781","0.000175890","196.42.104.243","87.248.114.12"
"1757710025.810116052","0.000191899","196.42.104.243","87.248.114.12"
"1757710025.810121045","0.000197170","196.42.104.243","87.248.114.12"
"1757710025.810125019","0.000199980","196.42.104.243","87.248.114.12"
"1757710025.813322717","0.000034491","196.42.104.243","87.248.114.12"
"1757710025.813337953","0.000049512","196.42.104.243","87.248.114.12"
"1757710025.813403758","0.000036904","196.42.104.243","87.248.114.12"
"1757710025.813578669","0.000215040","196.42.104.243","87.248.114.12"
"1757710025.815634918","0.000029694","196.42.104.243","87.248.114.12"
"1757710025.815650995","0.000045548","196.42.104.243","87.248.114.12"
"1757710025.815656698","0.000035876","196.42.104.243","87.248.114.12"
"1757710025.815681111","0.000060012","196.42.104.243","87.248.114.12"
"1757710026.015612561","0.202196456","87.248.114.12","196.42.104.243"
"1757710026.015637282","0.202465516","87.248.114.12","196.42.104.243"
"1757710026.015659565","0.202705615","87.248.114.12","196.42.104.243"
"1757710026.015716648","0.000056803","196.42.104.243","87.248.114.12"
"1757710026.015788907","0.000013483","196.42.104.243","87.248.114.12"
"1757710026.016759974","0.001100192","196.42.104.243","87.248.114.12"
"1757710026.017156053","0.196613526","87.248.114.12","196.42.104.243"
"1757710026.017173061","0.195465755","87.248.114.12","196.42.104.243"
"1757710026.017173273","0.195152257","87.248.114.12","196.42.104.243"
"1757710026.017177030","0.196671442","87.248.114.12","196.42.104.243"
"1757710026.017183023","0.195700276","87.248.114.12","196.42.104.243"
"1757710026.017183344","0.195209455","87.248.114.12","196.42.104.243"
"1757710026.017220131","0.199002541","87.248.114.12","196.42.104.243"
"1757710026.017220383","0.196791061","87.248.114.12","196.42.104.243"
"1757710026.017220476","0.196653348","87.248.114.12","196.42.104.243"
"1757710026.017267190","0.000046622","196.42.104.243","87.248.114.12"
"1757710026.017334646","0.000157410","196.42.104.243","87.248.114.12"
"1757710026.017719748","0.000563653","196.42.104.243","87.248.114.12"
"1757710026.017933363","0.000712933","196.42.104.243","87.248.114.12"
"1757710026.018738767","0.001555377","196.42.104.243","87.248.114.12"
"1757710026.019174603","0.002001300","196.42.104.243","87.248.114.12"
"1757710026.019534539","0.002314018","196.42.104.243","87.248.114.12"
"1757710026.219701396","0.000024323","196.42.104.243","87.248.114.12"
"1757710026.219717301","0.000040127","196.42.104.243","87.248.114.12"
"1757710026.219737241","0.192350451","87.248.114.12","196.42.104.243"
"1757710026.219763310","0.000026000","196.42.104.243","87.248.114.12"
"1757710026.222923660","0.000047052","196.42.104.243","87.248.114.12"
"1757710026.223010566","0.000133689","196.42.104.243","87.248.114.12"
"1757710026.223055244","0.000063925","196.42.104.243","87.248.114.12"
"1757710026.225258924","0.000034382","196.42.104.243","87.248.114.12"
"1757710026.225276569","0.191789050","87.248.114.12","196.42.104.243"
"1757710026.228306691","0.191614147","87.248.114.12","196.42.104.243"
"1757710026.267228592","0.041952113","196.42.104.243","87.248.114.12"
"1757710026.373011748","0.000024930","196.42.104.243","87.248.114.12"
"1757710026.375025291","0.000062317","196.42.104.243","87.248.114.12"
"1757710026.627990098","0.149427086","87.248.114.12","196.42.104.243"
"1757710026.631222769","0.000034002","196.42.104.243","87.248.114.12"
"1757710026.631486045","0.000297200","196.42.104.243","87.248.114.12"
"1757710084.956221880","0.149732271","87.248.114.12","196.42.104.243"
"1757710084.956264089","0.000042209","196.42.104.243","87.248.114.12"
"1757710097.405560680","0.150711185","87.248.114.11","196.42.104.243"
"1757710097.405601961","0.000041281","196.42.104.243","87.248.114.11"
"1757710097.408348849","0.001053101","87.248.114.11","196.42.104.243"
"1757710097.559021312","0.000042698","196.42.104.243","87.248.114.11"
"1757710097.559034448","0.000055506","196.42.104.243","87.248.114.11"
"1757710097.711936582","0.150365388","87.248.114.11","196.42.104.243"
"1757710097.712412925","0.150340721","87.248.114.11","196.42.104.243"
"1757710097.712702816","0.000289891","196.42.104.243","87.248.114.11"
"1757710097.751825942","0.189722553","87.248.114.11","196.42.104.243"
"1757710097.818213539","0.040329390","196.42.104.243","87.248.114.11"
"1757710097.862612010","0.149909194","87.248.114.11","196.42.104.243"
"1757710143.468406969","0.211872446","87.248.114.12","196.42.104.243"
"1757710143.468440892","0.000033923","196.42.104.243","87.248.114.12"
