saddr,daddr,sport,dport,Proto,tcprtt
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,49368,https,tcp,0.164132
196.42.104.243,87.248.114.12,34730,https,tcp,0.150161
196.42.104.243,87.248.114.12,34746,https,tcp,0.150041
196.42.104.243,87.248.114.12,34752,https,tcp,0.14999
196.42.104.243,87.248.114.12,34754,https,tcp,0.149952
196.42.104.243,87.248.114.12,34762,https,tcp,0.150483
196.42.104.243,87.248.114.12,34778,https,tcp,0.150461
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.11,60548,https,tcp,0.150752
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.11,60548,https,tcp,0.150752
196.42.104.243,87.248.114.11,48600,https,tcp,0.149562
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.11,48616,https,tcp,0.149955
196.42.104.243,87.248.114.12,37612,https,tcp,0.160451
196.42.104.243,87.248.114.12,37624,https,tcp,0.160348
196.42.104.243,87.248.114.12,37630,https,tcp,0.155213
196.42.104.243,87.248.114.12,37640,https,tcp,0.15957
196.42.104.243,87.248.114.12,56402,https,tcp,0.150593
196.42.104.243,87.248.114.11,43390,https,tcp,0.149965
196.42.104.243,87.248.114.11,43402,https,tcp,0.150206
196.42.104.243,87.248.114.11,43404,https,tcp,0.149846
196.42.104.243,87.248.114.11,43410,https,tcp,0.150667
196.42.104.243,87.248.114.11,43420,https,tcp,0.150612
196.42.104.243,87.248.114.11,43436,https,tcp,0.150548
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,56414,https,tcp,0.149861
196.42.104.243,87.248.114.12,56422,https,tcp,0.149812
196.42.104.243,87.248.114.12,56424,https,tcp,0.150555
196.42.104.243,87.248.114.12,56436,https,tcp,0.149721
196.42.104.243,87.248.114.12,56440,https,tcp,0.150908
196.42.104.243,87.248.114.12,56450,https,tcp,0.208223
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,45390,https,tcp,0.151471
196.42.104.243,87.248.114.12,45406,https,tcp,0.151171
196.42.104.243,87.248.114.12,56422,https,tcp,0.149812
196.42.104.243,87.248.114.12,45414,https,tcp,0.150053
196.42.104.243,87.248.114.11,44092,https,tcp,0.150328
196.42.104.243,87.248.114.12,45426,https,tcp,0.149771
196.42.104.243,87.248.114.12,45436,https,tcp,0.149892
196.42.104.243,87.248.114.11,43390,https,tcp,0.149965
196.42.104.243,87.248.114.12,45444,https,tcp,0.149877
196.42.104.243,87.248.114.12,45448,https,tcp,0.149818
196.42.104.243,87.248.114.12,45450,https,tcp,0.149946
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.11,44096,https,tcp,0.149781
