StartTime,LastTime,SrcAddr,DstAddr,Sport,Dport,Proto,TcpRtt
22:47:01.649596,22:47:06.631486,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:47:01.650984,22:47:02.124064,196.42.104.243,87.248.114.12,49368,443,tcp,0.164132
22:47:05.473245,22:47:06.219737,196.42.104.243,87.248.114.12,34730,443,tcp,0.150161
22:47:05.473329,22:47:06.219645,196.42.104.243,87.248.114.12,34746,443,tcp,0.150041
22:47:05.473392,22:47:06.219647,196.42.104.243,87.248.114.12,34752,443,tcp,0.14999
22:47:05.473440,22:47:06.017943,196.42.104.243,87.248.114.12,34754,443,tcp,0.149952
22:47:05.473487,22:47:06.219587,196.42.104.243,87.248.114.12,34762,443,tcp,0.150483
22:47:05.473527,22:47:06.219646,196.42.104.243,87.248.114.12,34778,443,tcp,0.150461
22:48:04.806489,22:48:04.956264,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:48:17.254849,22:48:17.862612,196.42.104.243,87.248.114.11,60548,443,tcp,0.150752
22:49:03.256534,22:49:03.468440,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:49:16.343220,22:49:16.493591,196.42.104.243,87.248.114.11,60548,443,tcp,0.150752
22:49:47.665227,22:49:48.320450,196.42.104.243,87.248.114.11,48600,443,tcp,0.149562
22:49:50.407091,22:49:54.715541,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:49:51.401001,22:49:52.019249,196.42.104.243,87.248.114.11,48616,443,tcp,0.149955
22:49:52.546315,22:49:53.164486,196.42.104.243,87.248.114.12,37612,443,tcp,0.160451
22:49:52.546403,22:49:53.164534,196.42.104.243,87.248.114.12,37624,443,tcp,0.160348
22:49:52.630401,22:49:53.947257,196.42.104.243,87.248.114.12,37630,443,tcp,0.155213
22:49:52.643307,22:49:53.256685,196.42.104.243,87.248.114.12,37640,443,tcp,0.15957
22:49:54.562176,22:49:55.020006,196.42.104.243,87.248.114.12,56402,443,tcp,0.150593
22:49:55.202930,22:49:55.919921,196.42.104.243,87.248.114.11,43390,443,tcp,0.149965
22:49:55.202993,22:49:55.662674,196.42.104.243,87.248.114.11,43402,443,tcp,0.150206
22:49:55.204163,22:49:55.663474,196.42.104.243,87.248.114.11,43404,443,tcp,0.149846
